Section,Element,Cardinality,Required,Field Title,Description,Property,Property Range Comments,Comments,Visibility,Example,Type,Default Value,Controlled Terms,Lookup,Ontology
,Data File Title,MULTIPLE,,,The name or title of the Data File being described,http://purl.org/radx-terms/metadata-terms/titleElement,,,,,,,,,
,,,Required,Title,A title or descriptive name by which the Data File being described is known.  This is a presentation name and is typically different from the actual file name of the data file.,http://purl.org/radx-terms/metadata-terms/title,,,,COVID-19 Symtoms Survey Responses,,,,,
,,,Optional,Language,The language in which the Data File Title is provided.  If no value is specified then the default value is English,http://purl.org/radx-terms/metadata-terms/language,,,,en,,[en](https://www.omg.org/spec/LCC/Languages/LaISO639-1-LanguageCodes/en),,https://bioportal.bioontology.org/ontologies/ISO639-1,ONTOLOGY
,Data File Identifier,SINGLE,,,Information about the globally unique and persistent identifier used to identify and optionally access (meta)data of the data file being described.,http://purl.org/radx-terms/metadata-terms/dataFileIdentifierDescriptor,,,,,,,,,
,,,Recommended,Identifier,"A globally unique string that identifies the Data File being described. It is typically a DOI (Digital Object Identifier) or URL (Uniform Resource Locator, that is, Web address). The identifier is typically generated by data providers or data publishers who wish to have a citable and Web-accessible resource.

Example DOIs are ""doi:10.1000/182"" or ""http://doi.org/10.1000/182"", both of which identify the DOI Handbook, which has a DOI of 10.1000/182

See also:  https://en.wikipedia.org/wiki/Digital_object_identifier",http://purl.org/radx-terms/metadata-terms/dataFileIdentifier,,,,doi:10.1000/182,,,,,
,,,Optional,Identifier Type,"The identifier type used to identify the resource being described.

This need not be provided if the identifier is either a DOI that begins with ""doi:"" or ""http://doi.org/"", or it is a URL that begins with either ""http://"" or ""https://"" ",http://purl.org/radx-terms/metadata-terms/dataFileIdentifierType,,,,DOI,,,,,
,,,Recommended,File Name ,"The local name of the resource (for example, in a file-based operating system or web service)",http://purl.org/radx-terms/metadata-terms/dataFileFileName,Text,,,COVID-19_Symptoms_Survey_Dec_Responses.csv,,,,,
,,,Optional,SHA256 digest,"A SHA256 digest of the Data File contents.  This is a 64 characters long hexadecimal string.  

As an example, the SHA256 digest of ""RADx Data Hub"" is ebff8d3da88b292622d3bfc36bdac4c4537ddc56cb07f344c5223d6b6f9cd011",https://purl.org/radx-terms/dataFileSha256,xsd:string [0-9a-z]{64},,,ebff8d3da88b292622d3bfc36bdac4c4537ddc56cb07f344c5223d6b6f9cd011,,,,,
,Data File Content,SINGLE,,,Information about conceptual content of the Data File,http://purl.org/radx-terms/metadata-terms/dataFileContentDescriptor,,,,,,,,,
,,,Recommended,Type Of Content,"The kind of content that the data file contains.  Data files are either text or non-text (binary) representations of datasets, images etc.  This field describes the conceptual type of the thing that is represented by the data file.

In most cases the value of this field will ""Data Set"" but other common types include ""Audiovisual"", ""Data Stream"", ""Image""",http://purl.org/radx-terms/metadata-terms/typeOfContent,IRI,,,,,,"Audiovisual, Collection, Data Catalog, Data Paper, Data Stream, Dataset, Event, Image, Interactive Resource, Model, Other Resource, Physical Object, Service, Software, Sound, Text, Workflow",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/ResourceTypeCategory,
,,,Optional,Type of Content Description,If no suitable value can be specified for the Type Of Content field then this field may contain a brief free-text description of the conceptual type of content,http://purl.org/radx-terms/metadata-terms/typeOfContentDescription,,,,,,,,,
